STATION ID,STATUS,RESULT
1,0,BALANCED
2,-589,UNDERFLOW
3,-825,UNDERFLOW
4,13,OVERFLOW
5,237,OVERFLOW
6,-860,UNDERFLOW
7,-295,UNDERFLOW
9,30,OVERFLOW
11,-30,UNDERFLOW
12,-12,UNDERFLOW
13,50,OVERFLOW
14,364,OVERFLOW
15,30,OVERFLOW
16,-146,UNDERFLOW
17,173,OVERFLOW
18,-615,UNDERFLOW
19,34,OVERFLOW
20,913,OVERFLOW
21,-190,UNDERFLOW
22,118,OVERFLOW
23,-169,UNDERFLOW
24,-102,UNDERFLOW
25,11,OVERFLOW
26,94,OVERFLOW
27,-93,UNDERFLOW
28,-304,UNDERFLOW
29,-253,UNDERFLOW
30,-218,UNDERFLOW
31,-415,UNDERFLOW
32,-281,UNDERFLOW
33,-466,UNDERFLOW
34,390,OVERFLOW
35,1185,OVERFLOW
36,-731,UNDERFLOW
37,-301,UNDERFLOW
38,-436,UNDERFLOW
39,-43,UNDERFLOW
40,-122,UNDERFLOW
41,61,OVERFLOW
42,228,OVERFLOW
43,486,OVERFLOW
44,-396,UNDERFLOW
45,-722,UNDERFLOW
46,-1309,UNDERFLOW
47,634,OVERFLOW
48,-24,UNDERFLOW
49,-281,UNDERFLOW
50,-331,UNDERFLOW
51,-62,UNDERFLOW
52,65,OVERFLOW
53,-456,UNDERFLOW
54,198,OVERFLOW
55,116,OVERFLOW
56,-1246,UNDERFLOW
57,851,OVERFLOW
58,-291,UNDERFLOW
59,937,OVERFLOW
60,100,OVERFLOW
61,487,OVERFLOW
62,-352,UNDERFLOW
66,-227,UNDERFLOW
67,-51,UNDERFLOW
68,-314,UNDERFLOW
69,815,OVERFLOW
71,550,OVERFLOW
72,610,OVERFLOW
73,-774,UNDERFLOW
74,-744,UNDERFLOW
75,-190,UNDERFLOW
76,-1252,UNDERFLOW
77,-486,UNDERFLOW
80,288,OVERFLOW
81,-303,UNDERFLOW
84,-570,UNDERFLOW
85,817,OVERFLOW
86,94,OVERFLOW
87,-23,UNDERFLOW
88,210,OVERFLOW
89,-466,UNDERFLOW
90,951,OVERFLOW
91,-102,UNDERFLOW
92,-685,UNDERFLOW
93,15,OVERFLOW
94,235,OVERFLOW
95,-82,UNDERFLOW
96,-510,UNDERFLOW
97,-714,UNDERFLOW
98,-567,UNDERFLOW
99,-319,UNDERFLOW
100,-509,UNDERFLOW
101,-66,UNDERFLOW
102,-18,UNDERFLOW
103,763,OVERFLOW
106,-446,UNDERFLOW
107,-150,UNDERFLOW
108,-119,UNDERFLOW
109,-510,UNDERFLOW
110,493,OVERFLOW
111,-366,UNDERFLOW
112,1022,OVERFLOW
113,791,OVERFLOW
114,786,OVERFLOW
115,199,OVERFLOW
116,-95,UNDERFLOW
117,144,OVERFLOW
118,-633,UNDERFLOW
119,-419,UNDERFLOW
120,683,OVERFLOW
121,-370,UNDERFLOW
122,-548,UNDERFLOW
123,76,OVERFLOW
124,322,OVERFLOW
125,494,OVERFLOW
126,203,OVERFLOW
127,207,OVERFLOW
128,868,OVERFLOW
129,241,OVERFLOW
130,86,OVERFLOW
131,94,OVERFLOW
132,597,OVERFLOW
133,-41,UNDERFLOW
134,-270,UNDERFLOW
135,171,OVERFLOW
136,-60,UNDERFLOW
137,-130,UNDERFLOW
138,55,OVERFLOW
140,806,OVERFLOW
141,180,OVERFLOW
142,-126,UNDERFLOW
143,-323,UNDERFLOW
144,48,OVERFLOW
145,-494,UNDERFLOW
146,-66,UNDERFLOW
147,-176,UNDERFLOW
148,376,OVERFLOW
149,-401,UNDERFLOW
150,177,OVERFLOW
152,-315,UNDERFLOW
153,-161,UNDERFLOW
154,-32,UNDERFLOW
156,251,OVERFLOW
157,613,OVERFLOW
158,223,OVERFLOW
159,-202,UNDERFLOW
160,-16,UNDERFLOW
161,-285,UNDERFLOW
162,444,OVERFLOW
163,471,OVERFLOW
164,-811,UNDERFLOW
165,-324,UNDERFLOW
166,257,OVERFLOW
167,165,OVERFLOW
168,233,OVERFLOW
169,-906,UNDERFLOW
170,84,OVERFLOW
171,-102,UNDERFLOW
172,114,OVERFLOW
173,366,OVERFLOW
174,316,OVERFLOW
175,-942,UNDERFLOW
176,439,OVERFLOW
177,567,OVERFLOW
178,92,OVERFLOW
179,-35,UNDERFLOW
180,-309,UNDERFLOW
181,643,OVERFLOW
182,-94,UNDERFLOW
183,-300,UNDERFLOW
184,487,OVERFLOW
185,-71,UNDERFLOW
186,360,OVERFLOW
188,552,OVERFLOW
190,-121,UNDERFLOW
191,-1346,UNDERFLOW
192,-465,UNDERFLOW
193,-143,UNDERFLOW
194,-130,UNDERFLOW
195,-2081,UNDERFLOW
196,-796,UNDERFLOW
197,-444,UNDERFLOW
198,781,OVERFLOW
199,239,OVERFLOW
200,-120,UNDERFLOW
201,-46,UNDERFLOW
202,-136,UNDERFLOW
203,110,OVERFLOW
204,-258,UNDERFLOW
205,63,OVERFLOW
206,-10,UNDERFLOW
207,-212,UNDERFLOW
208,358,OVERFLOW
